"","carrier","origin"
"1","9E","JFK"
"2","9E","EWR"
"3","9E","LGA"
"4","AA","JFK"
"5","AA","LGA"
"6","AA","EWR"
"7","AS","EWR"
"8","B6","JFK"
"9","B6","EWR"
"10","B6","LGA"
"11","DL","LGA"
"12","DL","JFK"
"13","DL","EWR"
"14","EV","LGA"
"15","EV","EWR"
"16","EV","JFK"
"17","F9","LGA"
"18","FL","LGA"
"19","HA","JFK"
"20","MQ","LGA"
"21","MQ","EWR"
"22","MQ","JFK"
"23","OO","LGA"
"24","OO","EWR"
"25","UA","EWR"
"26","UA","LGA"
"27","UA","JFK"
"28","US","EWR"
"29","US","JFK"
"30","US","LGA"
"31","VX","JFK"
"32","VX","EWR"
"33","WN","LGA"
"34","WN","EWR"
"35","YV","LGA"
